Book No.,Ship class,Ship class index,Ship type,Ship name,Variation num,Remodel level,Implemented at,Memo
26,扶桑型,1,戦艦,扶桑,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
27,扶桑型,2,戦艦,山城,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
28,天龍型,1,軽巡洋艦,天龍,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
29,天龍型,2,軽巡洋艦,龍田,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
30,龍驤型,1,軽空母,龍驤,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
31,睦月型,1,駆逐艦,睦月,6,,2016-05-26T07:00:00+09:00,2016-05-26：5隻追加（雪風、睦月、如月、古鷹、加古）
32,睦月型,2,駆逐艦,如月,6,,2016-05-26T07:00:00+09:00,2016-05-26：5隻追加（雪風、睦月、如月、古鷹、加古）
33,睦月型,5,駆逐艦,皐月,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
34,睦月型,7,駆逐艦,文月,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
35,睦月型,8,駆逐艦,長月,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
36,睦月型,9,駆逐艦,菊月,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
37,睦月型,10,駆逐艦,三日月,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
38,睦月型,11,駆逐艦,望月,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
39,球磨型,1,軽巡洋艦,球磨,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
40,球磨型,2,軽巡洋艦,多摩,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
41,球磨型,5,軽巡洋艦,木曾,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
42,長良型,1,軽巡洋艦,長良,6,,2016-08-23T07:00:00+09:00,2016-08-23：4隻追加（長良、五十鈴、名取、由良）
43,長良型,2,軽巡洋艦,五十鈴,6,,2016-08-23T07:00:00+09:00,2016-08-23：4隻追加（長良、五十鈴、名取、由良）
44,長良型,3,軽巡洋艦,名取,6,,2016-08-23T07:00:00+09:00,2016-08-23：4隻追加（長良、五十鈴、名取、由良）
45,長良型,4,軽巡洋艦,由良,6,,2016-08-23T07:00:00+09:00,2016-08-23：4隻追加（長良、五十鈴、名取、由良）
46,川内型,1,軽巡洋艦,川内,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
47,川内型,2,軽巡洋艦,神通,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
48,川内型,3,軽巡洋艦,那珂,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
49,千歳型,1,水上機母艦,千歳,3,,2016-04-26T07:00:00+09:00,リリースと同時に実装
50,千歳型,2,水上機母艦,千代田,3,,2016-04-26T07:00:00+09:00,リリースと同時に実装
51,最上型,1,重巡洋艦,最上,3,,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
52,古鷹型,1,重巡洋艦,古鷹,6,,2016-05-26T07:00:00+09:00,2016-05-26：5隻追加（雪風、睦月、如月、古鷹、加古）
53,古鷹型,2,重巡洋艦,加古,6,,2016-05-26T07:00:00+09:00,2016-05-26：5隻追加（雪風、睦月、如月、古鷹、加古）
54,青葉型,1,重巡洋艦,青葉,6,,2017-01-12T07:00:00+09:00,2017-01-12：6隻追加（初春、子日、若葉、初霜、青葉、衣笠）
55,妙高型,1,重巡洋艦,妙高,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
56,妙高型,2,重巡洋艦,那智,6,,2016-06-30T07:00:00+09:00,2016-06-30：5隻追加（綾波、敷波、那智、足柄、羽黒）
57,妙高型,3,重巡洋艦,足柄,6,,2016-06-30T07:00:00+09:00,2016-06-30：5隻追加（綾波、敷波、那智、足柄、羽黒）
58,妙高型,4,重巡洋艦,羽黒,6,,2016-06-30T07:00:00+09:00,2016-06-30：5隻追加（綾波、敷波、那智、足柄、羽黒）
59,高雄型,1,重巡洋艦,高雄,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
60,高雄型,2,重巡洋艦,愛宕,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
61,高雄型,3,重巡洋艦,摩耶,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
62,高雄型,4,重巡洋艦,鳥海,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
63,利根型,1,重巡洋艦,利根,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
64,利根型,2,重巡洋艦,筑摩,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
65,飛鷹型,1,軽空母,飛鷹,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
66,飛鷹型,2,軽空母,隼鷹,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
67,綾波型,7,駆逐艦,朧,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
68,綾波型,8,駆逐艦,曙,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
69,綾波型,9,駆逐艦,漣,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
70,綾波型,10,駆逐艦,潮,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
71,暁型,1,駆逐艦,暁,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
72,暁型,2,駆逐艦,響,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
73,暁型,3,駆逐艦,雷,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
74,暁型,4,駆逐艦,電,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
75,初春型,1,駆逐艦,初春,6,,2017-01-12T07:00:00+09:00,2017-01-12：6隻追加（初春、子日、若葉、初霜、青葉、衣笠）
76,初春型,2,駆逐艦,子日,6,,2017-01-12T07:00:00+09:00,2017-01-12：6隻追加（初春、子日、若葉、初霜、青葉、衣笠）
77,初春型,3,駆逐艦,若葉,6,,2017-01-12T07:00:00+09:00,2017-01-12：6隻追加（初春、子日、若葉、初霜、青葉、衣笠）
78,初春型,4,駆逐艦,初霜,6,,2017-01-12T07:00:00+09:00,2017-01-12：6隻追加（初春、子日、若葉、初霜、青葉、衣笠）
79,白露型,1,駆逐艦,白露,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
80,白露型,2,駆逐艦,時雨,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
81,白露型,3,駆逐艦,村雨,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
82,白露型,4,駆逐艦,夕立,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
83,白露型,6,駆逐艦,五月雨,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
84,白露型,10,駆逐艦,涼風,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
85,朝潮型,1,駆逐艦,朝潮,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
86,朝潮型,2,駆逐艦,大潮,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
87,朝潮型,3,駆逐艦,満潮,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
88,朝潮型,4,駆逐艦,荒潮,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
89,朝潮型,9,駆逐艦,霰,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
90,朝潮型,10,駆逐艦,霞,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
91,陽炎型,1,駆逐艦,陽炎,6,,2016-07-26T07:00:00+09:00,2016-07-26：3隻追加（陽炎、不知火、黒潮）
92,陽炎型,2,駆逐艦,不知火,6,,2016-07-26T07:00:00+09:00,2016-07-26：3隻追加（陽炎、不知火、黒潮）
93,陽炎型,3,駆逐艦,黒潮,6,,2016-07-26T07:00:00+09:00,2016-07-26：3隻追加（陽炎、不知火、黒潮）
94,祥鳳型,1,軽空母,祥鳳,3,,2016-10-27T07:00:00+09:00,2016-10-27：4隻追加（翔鶴、瑞鶴、瑞鳳、祥鳳のノーマルのみ）
95,千歳型,1,水上機母艦,千歳改,3,1,2016-04-26T07:00:00+09:00,リリースと同時に実装
96,千歳型,2,水上機母艦,千代田改,3,1,2016-04-26T07:00:00+09:00,リリースと同時に実装
97,球磨型,4,重雷装巡洋艦,大井改,3,1,2016-04-26T07:00:00+09:00,リリースと同時に実装
98,球磨型,3,重雷装巡洋艦,北上改,3,1,2016-04-26T07:00:00+09:00,リリースと同時に実装
99,千歳型,1,水上機母艦,千歳甲,3,2,2017-03-23T07:00:00+09:00,2017-03-23：5隻追加（卯月、大井改二、北上改二、千歳甲、千代田甲）
100,千歳型,2,水上機母艦,千代田甲,3,2,2017-03-23T07:00:00+09:00,2017-03-23：5隻追加（卯月、大井改二、北上改二、千歳甲、千代田甲）
101,最上型,1,航空巡洋艦,最上改,3,1,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
102,伊勢型,1,航空戦艦,伊勢改,3,1,2016-04-26T07:00:00+09:00,リリースと同時に実装
103,伊勢型,2,航空戦艦,日向改,3,1,2016-04-26T07:00:00+09:00,リリースと同時に実装
104,千歳型,1,軽空母,千歳航,6,3,2017-07-13T07:00:00+09:00,2017-07-13：3隻追加（夕立改二、千歳航/航改、千代田航/航改） 千歳航は remodel_level 3、千歳航改は remodel_level 4 扱い
105,千歳型,2,軽空母,千代田航,6,3,2017-07-13T07:00:00+09:00,2017-07-13：3隻追加（夕立改二、千歳航/航改、千代田航/航改） 千代田航は remodel_level 3、千代田航改は remodel_level 4 扱い
106,翔鶴型,1,正規空母,翔鶴,3,,2016-10-27T07:00:00+09:00,2016-10-27：4隻追加（翔鶴、瑞鶴、瑞鳳、祥鳳のノーマルのみ）
107,翔鶴型,2,正規空母,瑞鶴,3,,2016-10-27T07:00:00+09:00,2016-10-27：4隻追加（翔鶴、瑞鶴、瑞鳳、祥鳳のノーマルのみ）
108,翔鶴型,2,正規空母,瑞鶴改,3,1,2017-02-07T07:00:00+09:00,2017-02-07：翔鶴、瑞鶴、瑞鳳、祥鳳の「改」追加
109,長良型,5,軽巡洋艦,鬼怒,6,,2016-12-15T07:00:00+09:00,2016-12-15：3隻追加（鬼怒、阿武隈、夕張）
110,長良型,6,軽巡洋艦,阿武隈,6,,2016-12-15T07:00:00+09:00,2016-12-15：3隻追加（鬼怒、阿武隈、夕張）
111,夕張型,1,軽巡洋艦,夕張,6,,2016-12-15T07:00:00+09:00,2016-12-15：3隻追加（鬼怒、阿武隈、夕張）
112,祥鳳型,2,軽空母,瑞鳳,3,,2016-10-27T07:00:00+09:00,2016-10-27：4隻追加（翔鶴、瑞鶴、瑞鳳、祥鳳のノーマルのみ）
113,祥鳳型,2,軽空母,瑞鳳改,3,1,2017-02-07T07:00:00+09:00,2017-02-07：翔鶴、瑞鶴、瑞鳳、祥鳳の「改」追加
114,球磨型,4,重雷装巡洋艦,大井改二,3,2,2017-03-23T07:00:00+09:00,2017-03-23：5隻追加（卯月、大井改二、北上改二、千歳甲、千代田甲）
115,球磨型,3,重雷装巡洋艦,北上改二,3,2,2017-03-23T07:00:00+09:00,2017-03-23：5隻追加（卯月、大井改二、北上改二、千歳甲、千代田甲）
116,最上型,2,重巡洋艦,三隈,3,,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
117,最上型,2,航空巡洋艦,三隈改,3,1,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
118,陽炎型,7,駆逐艦,初風,6,,2017-02-23T07:00:00+09:00,2017-02-23：4隻追加（舞風、初風、秋雲、弥生）
119,陽炎型,18,駆逐艦,舞風,6,,2017-02-23T07:00:00+09:00,2017-02-23：4隻追加（舞風、初風、秋雲、弥生）
120,青葉型,2,重巡洋艦,衣笠,6,,2017-01-12T07:00:00+09:00,2017-01-12：6隻追加（初春、子日、若葉、初霜、青葉、衣笠）
121,千歳型,1,軽空母,千歳航改二,3,5,2017-09-21T07:00:00+09:00,2017-09-21：4隻追加（香取、千歳航改二、千代田航改二、矢矧改）
122,千歳型,2,軽空母,千代田航改二,3,5,2017-09-21T07:00:00+09:00,2017-09-21：4隻追加（香取、千歳航改二、千代田航改二、矢矧改）
123,巡潜乙型,3,潜水艦,伊19,6,,2018-03-01T07:00:00+09:00,2018-03-01：2隻追加（霧島改二、伊19）
124,最上型,3,重巡洋艦,鈴谷,3,,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
125,最上型,4,重巡洋艦,熊野,3,,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
126,海大VI型,1,潜水艦,伊168,6,,2018-02-01T07:00:00+09:00,2018-02-01：3隻追加（伊168、伊58、榛名改二）
127,巡潜乙型改二,3,潜水艦,伊58,6,,2018-02-01T07:00:00+09:00,2018-02-01：3隻追加（伊168、伊58、榛名改二）
128,巡潜3型,2,潜水艦,伊8,3,,2018-03-22T07:00:00+09:00,2018-03-22：2隻追加（伊8、磯風のノーマルのみ）
129,最上型,3,航空巡洋艦,鈴谷改,3,1,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
130,最上型,4,航空巡洋艦,熊野改,3,1,2016-09-15T07:00:00+09:00,2016-09-15：4隻追加（最上、三隈、鈴谷、熊野）
131,大和型,1,戦艦,大和,3,,2017-05-11T07:00:00+09:00,2017-05-11：2隻追加（矢矧、大和のノーマルのみ）
132,陽炎型,19,駆逐艦,秋雲,6,,2017-02-23T07:00:00+09:00,2017-02-23：4隻追加（舞風、初風、秋雲、弥生）
133,夕雲型,1,駆逐艦,夕雲,6,,2017-06-08T07:00:00+09:00,2017-06-08：3隻追加（夕雲、巻雲、長波）
134,夕雲型,2,駆逐艦,巻雲,6,,2017-06-08T07:00:00+09:00,2017-06-08：3隻追加（夕雲、巻雲、長波）
135,夕雲型,4,駆逐艦,長波,6,,2017-06-08T07:00:00+09:00,2017-06-08：3隻追加（夕雲、巻雲、長波）
136,大和型,1,戦艦,大和改,3,1,2018-05-14T07:00:00+09:00,2018-05-14：4隻追加（大和改、Bismarck改、あきつ丸、まるゆ）
137,阿賀野型,1,軽巡洋艦,阿賀野,3,,2017-04-26T07:00:00+09:00,2017-04-26：3隻追加（阿賀野、能代、酒匂のノーマルのみ）
138,阿賀野型,2,軽巡洋艦,能代,3,,2017-04-26T07:00:00+09:00,2017-04-26：3隻追加（阿賀野、能代、酒匂のノーマルのみ）
139,阿賀野型,3,軽巡洋艦,矢矧,3,,2017-05-11T07:00:00+09:00,2017-05-11：2隻追加（矢矧、大和のノーマルのみ）
140,阿賀野型,4,軽巡洋艦,酒匂,3,,2017-04-26T07:00:00+09:00,2017-04-26：3隻追加（阿賀野、能代、酒匂のノーマルのみ）
141,長良型,2,軽巡洋艦,五十鈴改二,3,2,2018-06-07T07:00:00+09:00,2018-06-07：5隻追加（衣笠改二、五十鈴改二、谷風、天津風改、Prinz Eugen改）
142,青葉型,2,重巡洋艦,衣笠改二,3,2,2018-06-07T07:00:00+09:00,2018-06-07：5隻追加（衣笠改二、五十鈴改二、谷風、天津風改、Prinz Eugen改）
143,大和型,2,戦艦,武蔵,3,,2018-04-19T07:00:00+09:00,2018-04-19：1隻追加（武蔵）
144,白露型,4,駆逐艦,夕立改二,3,2,2017-07-13T07:00:00+09:00,2017-07-13：3隻追加（夕立改二、千歳航/航改、千代田航/航改）
145,白露型,2,駆逐艦,時雨改二,3,2,2017-08-17T07:00:00+09:00,2017-08-17：4隻追加（春雨、時雨改二、阿賀野改、能代改）
146,球磨型,5,重雷装巡洋艦,木曾改二,3,2,2018-07-05T07:00:00+09:00,2018-07-05：3隻追加（早霜、清霜、木曾改二）
147,暁型,2,駆逐艦,Верный,3,2,2017-10-26T07:00:00+09:00,2017-10-26：3隻追加（鹿島、Верный、酒匂改）
148,大和型,2,戦艦,武蔵改,3,1,,
149,金剛型,1,戦艦,金剛改二,3,2,2018-01-18T07:00:00+09:00,2018-01-18：2隻追加（金剛改二、比叡改二）
150,金剛型,2,戦艦,比叡改二,3,2,2018-01-18T07:00:00+09:00,2018-01-18：2隻追加（金剛改二、比叡改二）
151,金剛型,3,戦艦,榛名改二,3,2,2018-02-01T07:00:00+09:00,2018-02-01：3隻追加（伊168、伊58、榛名改二）
152,金剛型,4,戦艦,霧島改二,3,2,2018-03-01T07:00:00+09:00,2018-03-01：2隻追加（霧島改二、伊19）
153,大鳳型,1,装甲空母,大鳳,3,,2017-12-14T07:00:00+09:00,2017-12-14：2隻追加（Bismarck、大鳳）
154,香取型,1,練習巡洋艦,香取,6,,2017-09-21T07:00:00+09:00,2017-09-21：4隻追加（香取、千歳航改二、千代田航改二、矢矧改）
155,潜特型,2,潜水空母,伊401,3,,2018-10-23T07:00:00+09:00,2018-10-28：2隻追加（大淀、伊401）
156,大鳳型,1,装甲空母,大鳳改,3,1,,
157,龍驤型,1,軽空母,龍驤改二,3,2,2018-09-20T07:00:00+09:00,2018-09-20：3隻追加（Z1、Z3、龍驤改二）
158,川内型,1,軽巡洋艦,川内改二,3,2,2018-08-21T07:00:00+09:00,2018-08-21：3隻追加（川内改二、神通改二、那珂改二）
159,川内型,2,軽巡洋艦,神通改二,3,2,2018-08-21T07:00:00+09:00,2018-08-21：3隻追加（川内改二、神通改二、那珂改二）
160,川内型,3,軽巡洋艦,那珂改二,3,2,2018-08-21T07:00:00+09:00,2018-08-21：3隻追加（川内改二、神通改二、那珂改二）
161,特種船丙型,1,揚陸艦,あきつ丸,3,,2018-05-14T07:00:00+09:00,2018-05-14：4隻追加（大和改、Bismarck改、あきつ丸、まるゆ）
163,三式潜航輸送艇,1,潜水艦,まるゆ,6,,2018-05-14T07:00:00+09:00,2018-05-14：4隻追加（大和改、Bismarck改、あきつ丸、まるゆ）
164,睦月型,3,駆逐艦,弥生,6,,2017-02-23T07:00:00+09:00,2017-02-23：4隻追加（舞風、初風、秋雲、弥生）
165,睦月型,4,駆逐艦,卯月,6,,2017-03-23T07:00:00+09:00,2017-03-23：5隻追加（卯月、大井改二、北上改二、千歳甲、千代田甲）
166,特種船丙型,1,揚陸艦,あきつ丸改,3,1,2018-05-14T07:00:00+09:00,2018-05-14：4隻追加（大和改、Bismarck改、あきつ丸、まるゆ）
167,陽炎型,12,駆逐艦,磯風,3,,2018-03-22T07:00:00+09:00,2018-03-22：2隻追加（伊8、磯風のノーマルのみ）
168,陽炎型,11,駆逐艦,浦風,3,,2018-10-11T07:00:00+09:00,2018-10-11：2隻追加（浦風、浜風のノーマルのみ）
169,陽炎型,14,駆逐艦,谷風,6,,2018-06-07T07:00:00+09:00,2018-06-07：5隻追加（衣笠改二、五十鈴改二、谷風、天津風改、Prinz Eugen改）
170,陽炎型,13,駆逐艦,浜風,3,,2018-10-11T07:00:00+09:00,2018-10-11：2隻追加（浦風、浜風のノーマルのみ）
171,Bismarck級,1,戦艦,Bismarck,3,,2017-12-14T07:00:00+09:00,2017-12-14：2隻追加（Bismarck、大鳳）
172,Bismarck級,1,戦艦,Bismarck改,3,1,2018-05-14T07:00:00+09:00,2018-05-14：4隻追加（大和改、Bismarck改、あきつ丸、まるゆ）
173,Bismarck級,1,戦艦,Bismarck zwei,3,2,,
174,Z1型,1,駆逐艦,Z1,6,,2018-09-20T07:00:00+09:00,2018-09-20：3隻追加（Z1、Z3、龍驤改二）
175,Z1型,3,駆逐艦,Z3,6,,2018-09-20T07:00:00+09:00,2018-09-20：3隻追加（Z1、Z3、龍驤改二）
176,Admiral Hipper級,3,重巡洋艦,Prinz Eugen,3,,2017-11-30T07:00:00+09:00,2017-11-30：2隻追加（天津風、Prinz Eugen）
177,Admiral Hipper級,3,重巡洋艦,Prinz Eugen改,3,1,2018-06-07T07:00:00+09:00,2018-06-07：5隻追加（衣笠改二、五十鈴改二、谷風、天津風改、Prinz Eugen改）
178,Bismarck級,1,戦艦,Bismarck drei,3,3,,
179,Z1型,1,駆逐艦,Z1 zwei,3,2,,
180,Z1型,3,駆逐艦,Z3 zwei,3,2,,
181,陽炎型,9,駆逐艦,天津風,3,,2017-11-30T07:00:00+09:00,2017-11-30：2隻追加（天津風、Prinz Eugen）
182,明石型,1,工作艦,明石,3,,,
183,大淀型,1,軽巡洋艦,大淀,3,,2018-10-23T07:00:00+09:00,2018-10-28：2隻追加（大淀、伊401）
184,大鯨型,1,潜水母艦,大鯨,3,,,
185,龍鳳型,1,軽空母,龍鳳,3,,,
186,陽炎型,10,駆逐艦,時津風,3,,2018-04-05T07:00:00+09:00,2018-04-05：2隻追加（時津風、照月）
187,明石型,1,工作艦,明石改,3,1,,
188,利根型,1,航空巡洋艦,利根改二,3,2,,
189,利根型,2,航空巡洋艦,筑摩改二,3,2,,
190,龍鳳型,1,軽空母,龍鳳改,3,1,,
191,妙高型,1,重巡洋艦,妙高改二,3,2,,
192,妙高型,2,重巡洋艦,那智改二,3,2,,
193,妙高型,3,重巡洋艦,足柄改二,3,2,,
194,妙高型,4,重巡洋艦,羽黒改二,3,2,,
195,綾波型,1,駆逐艦,綾波改二,3,2,,
196,飛龍型,1,正規空母,飛龍改二,3,2,,
197,蒼龍型,1,正規空母,蒼龍改二,3,2,,
199,朝潮型,2,駆逐艦,大潮改二,3,2,,
200,長良型,6,軽巡洋艦,阿武隈改二,3,2,,
201,雲龍型,1,正規空母,雲龍,3,,,
202,雲龍型,2,正規空母,天城,3,,,
203,雲龍型,3,正規空母,葛城,3,,,
204,初春型,1,駆逐艦,初春改二,3,2,,
205,白露型,5,駆逐艦,春雨,6,,2017-08-17T07:00:00+09:00,2017-08-17：4隻追加（春雨、時雨改二、阿賀野改、能代改）
206,雲龍型,1,正規空母,雲龍改,3,1,,
207,綾波型,10,駆逐艦,潮改二,3,2,,
208,飛鷹型,2,軽空母,隼鷹改二,3,2,,
209,夕雲型,17,駆逐艦,早霜,6,,2018-07-05T07:00:00+09:00,2018-07-05：3隻追加（早霜、清霜、木曾改二）
210,夕雲型,19,駆逐艦,清霜,6,,2018-07-05T07:00:00+09:00,2018-07-05：3隻追加（早霜、清霜、木曾改二）
211,扶桑型,1,航空戦艦,扶桑改二,3,2,,
212,扶桑型,2,航空戦艦,山城改二,3,2,,
213,朝潮型,5,駆逐艦,朝雲,3,,2018-11-06T07:00:00+09:00,2018-11-06：3隻追加（朝雲、山雲、伊8改）
214,朝潮型,6,駆逐艦,山雲,3,,2018-11-06T07:00:00+09:00,2018-11-06：3隻追加（朝雲、山雲、伊8改）
215,陽炎型,15,駆逐艦,野分,6,,,
216,古鷹型,1,重巡洋艦,古鷹改二,3,2,,
217,古鷹型,2,重巡洋艦,加古改二,3,2,,
218,睦月型,5,駆逐艦,皐月改二,3,2,,
219,初春型,4,駆逐艦,初霜改二,3,2,,
220,吹雪型,5,駆逐艦,叢雲改二,3,2,,
221,秋月型,1,駆逐艦,秋月,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
222,秋月型,2,駆逐艦,照月,3,,2018-04-05T07:00:00+09:00,2018-04-05：2隻追加（時津風、照月）
223,秋月型,3,駆逐艦,初月,6,,,
224,夕雲型,6,駆逐艦,高波,6,,,
225,夕雲型,16,駆逐艦,朝霜,6,,,
226,吹雪型,1,駆逐艦,吹雪改二,3,2,,
227,高雄型,4,重巡洋艦,鳥海改二,3,2,,
228,高雄型,3,重巡洋艦,摩耶改二,3,2,,
229,雲龍型,2,正規空母,天城改,3,1,,
230,雲龍型,3,正規空母,葛城改,3,1,,
231,UボートIXC型,1,潜水艦,U-511,6,,,
232,Graf Zeppelin級,1,正規空母,Graf Zeppelin,6,,,
233,Lexington級,2,正規空母,Saratoga,3,,,
234,睦月型,1,駆逐艦,睦月改二,3,2,,
235,睦月型,2,駆逐艦,如月改二,3,2,,
236,呂号潜水艦,1,潜水艦,呂500,3,2,,
237,暁型,1,駆逐艦,暁改二,3,2,,
238,Lexington級,2,正規空母,Saratoga改,3,,,
239,Queen Elizabeth級,2,戦艦,Warspite,6,,,
240,Iowa級,1,戦艦,Iowa,6,,,
241,V.Veneto級,2,戦艦,Littorio,3,,,
242,V.Veneto級,4,戦艦,Roma,3,,,
243,Maestrale級,3,駆逐艦,Libeccio,6,,,
244,Aquila級,1,正規空母,Aquila,6,,,
245,秋津洲型,1,水上機母艦,秋津洲,3,,,
246,V.Veneto級,2,戦艦,Italia,3,1,,
247,V.Veneto級,4,戦艦,Roma改,3,1,,
248,Zara級,1,重巡洋艦,Zara,6,,,
